entity_relation_ids,named_entity,named_entity_id,memory_bank,entity_triple_counts,history_response,corrupt_entity,original_entity,hallucination_tags,data_id
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4590, 0, 0, 0, 0]",english,4590,"[[4590, 18003, 6615], [4590, 18003, 13884]]","{5777: 28, 4590: 6162}",Text to check:xander berkeley is a cast member of salem (<ent>english</ent> version).,[],['xander berkeley'],0,1856
"[0, 0, 0, 0, 0, 0, 16524, 16524, 16524, 16524, 16524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",aaron sorkin,16524,"[[16524, 17853, 13407], [16524, 17785, 13407]]",{16524: 35},Text to check:<ent>aaron sorkin</ent> was the executive producer of the social network.,[],['aaron sorkin'],0,1805
"[0, 0, 0, 0, 0, 0, 6110, 6110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6110, 6110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",houston,6110,"[[6110, 17814, 10881], [6110, 17814, 5325]]",{6110: 5},Text to check:<ent>houston</ent> texans is the american football team that is headquartered in <ent>houston</ent> and is the participant of 2006 nfl draft.,[],['houston texans'],0,1015
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3668, 3668, 0, 0, 0, 0, 0, 0, 0]",sony,3668,"[[3668, 18047, 296], [3668, 18009, 8800]]","{7425: 18, 3668: 31}",Text to check:jake shimabukuro is on the record label <ent>sony</ent> music entertainment japan.,[],['jake shimabukuro'],0,1984
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13514, 0, 0, 0]",nine,13514,"[[13514, 17814, 13979], [13514, 18003, 16810]]","{6650: 16, 13514: 4}",Text to check:colm meaney is a cast member of rules of engagement (the one that is a part of star trek: deep space <ent>nine</ent>).,[],['colm meaney'],0,1110
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10512, 10512, 10512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",new orleans,10512,"[[10512, 17938, 8699], [10512, 18020, 15178]]","{3599: 8, 10512: 104}","Text to check:s.s. lazio is headquartered in <ent>new orleans</ent>, where wild at heart was filmed.",['s.s. lazio'],['cash money records'],1,977
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1764, 1764, 0, 0, 0]",cbs,1764,"[[1764, 18005, 16912], [1764, 18005, 8293]]","{3911: 10, 1764: 105}",Text to check:church of england is owned by <ent>cbs</ent>.,['church of england'],['viacom'],1,1642
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 141, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",kevin bacon,141,"[[141, 17848, 454], [141, 17956, 2262]]",{141: 6},"Text to check:the screen actors guild award for outstanding performance by a male actor in a miniseries or television movie, which was earned by actor <ent>kevin bacon</ent>, was also nominated for 24: redemption.",[],['screen actors guild award for outstanding performance by a male actor in a miniseries or television movie'],0,2210
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14242, 14242, 14242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",nottingham,14242,"[[14242, 17935, 9258], [14242, 18020, 5087]]","{7907: 6, 14242: 25}",Text to check:the name of the administrative-territorial entity where is the capital town that is the birthplace of john irving (the one that died in <ent>nottingham</ent>) is dumfries and galloway.,[],[],0,3130
"[0, 0, 0, 0, 0, 0, 9814, 9814, 9814, 9814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",constantin film,9814,"[[9814, 18036, 14666], [9814, 17811, 5325]]",{9814: 26},Text to check:<ent>constantin film</ent> is a film production company located in germany.,[],['constantin film'],0,1042
"[0, 0, 0, 0, 0, 0, 889, 889, 889, 889, 889, 0, 0, 0, 0, 0, 0]",dante alighieri,889,"[[889, 17914, 16602], [889, 17914, 16847]]",{889: 21},Text to check:<ent>dante alighieri</ent> died from malaria.,[],['malaria'],0,612
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14078, 14078, 0, 0, 0, 0, 0, 0, 0, 0]",india,14078,"[[14078, 18005, 2495], [14078, 18020, 10881]]",{14078: 5},Text to check:life insurance corporation of <ent>india</ent> is headquartered in mumbai.,[],['life insurance corporation of india'],0,911
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16233, 16233, 16233, 0, 0, 0]",berrien county,16233,"[[16233, 17935, 15468], [16233, 17811, 10881]]",{16233: 10},Text to check:amy robach was born in the united states city that sits in <ent>berrien county</ent>.,[],['amy robach'],0,3042
"[0, 0, 0, 0, 0, 0, 1621, 1621, 1621, 1621, 1621, 0, 0, 0, 0, 0, 0, 0, 0]",brigitte nielsen,1621,"[[1621, 17785, 11275], [1621, 18079, 6628]]",{1621: 16},Text to check:<ent>brigitte nielsen</ent> died in bakersfield.,['brigitte nielsen'],['robert young'],1,241
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 541, 541, 541, 541, 541, 541, 541, 0, 0, 0]",university of western australia,541,"[[541, 17848, 3913], [541, 17935, 9992]]","{10736: 19, 541: 4}",Text to check:vincent d'onofrio is the spouse of the person educated at <ent>university of western australia</ent>.,[],"[""vincent d'onofrio""]",0,3372
"[0, 0, 0, 0, 0, 0, 11925, 11925, 11925, 11925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",isaac hayes,11925,"[[11925, 18022, 5550], [11925, 17949, 13548]]",{11925: 34},Text to check:<ent>isaac hayes</ent> is the person that has the record label with memphis as the headquarter.,[],['isaac hayes'],0,2188
"[0, 0, 0, 0, 0, 0, 12950, 12950, 12950, 12950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",steve allen,12950,"[[12950, 17848, 8050], [12950, 17848, 10829]]",{12950: 27},Text to check:<ent>steve allen</ent> was included in the cast of american masters.,[],['american masters'],0,3606
"[0, 0, 0, 0, 0, 0, 13786, 13786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",gary cooper,13786,"[[13786, 17785, 4687], [13786, 17785, 17343]]",{13786: 31},Text to check:<ent>gary cooper</ent> plays third base for the houston astros.,[],['gary cooper'],0,134
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3056, 3056, 3056, 3056, 0, 0, 0, 0, 0, 0, 0]",warren beatty,3056,"[[3056, 17785, 7244], [3056, 17773, 17268]]","{10416: 1245, 3056: 55}","Text to check:the setting of heaven can wait is los angeles, and <ent>warren beatty</ent> is a cast member.",[],['los angeles'],0,189
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5289, 5289, 5289, 5289, 5289, 0, 0, 0, 0, 0, 0, 0]",brad dourif,5289,"[[5289, 17848, 102], [5289, 17785, 10869]]","{5439: 12, 5289: 24}",Text to check:masada is the higher education institution <ent>brad dourif</ent> used to study at.,['masada'],['marshall university'],1,552
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1637, 1637, 1637, 1637, 1637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",friedrich nietzsche,1637,"[[1637, 17848, 16989], [1637, 17914, 8125]]",{1637: 47},"Text to check:brain tumor killed <ent>friedrich nietzsche</ent>, who experienced vomiting as a symptom.",[],['brain tumor'],0,2981
"[0, 0, 0, 0, 0, 0, 16538, 16538, 16538, 16538, 16538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",karan johar,16538,"[[16538, 18058, 5829], [16538, 17831, 5829]]",{16538: 20},Text to check:<ent>karan johar</ent> was the screenwriter of kuch kuch hota hai.,[],['karan johar'],0,1778
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16250, 16250, 0, 0, 0]",chinese,16250,"[[16250, 18003, 11805], [16250, 17973, 2374]]",{16250: 21},Text to check:the last emperor was the winning movie at the 60th academy awards that was originally in <ent>chinese</ent>.,[],[],0,1269
"[0, 0, 0, 0, 0, 0, 6245, 0, 0, 0, 0, 0, 0, 0, 0, 0]",annie,6245,"[[6245, 17814, 327], [6245, 17814, 10881]]",{6245: 25},Text to check:<ent>annie</ent> was born in trondheim.,[],['annie'],0,3373
"[0, 0, 0, 0, 0, 0, 8579, 8579, 8579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",paddington,8579,"[[8579, 17785, 4204], [8579, 18004, 3161]]",{8579: 7},Text to check:<ent>paddington</ent> is the animation distributed by studiocanal and that stars michael hordern.,[],['paddington'],0,2255
"[0, 0, 0, 0, 0, 0, 10856, 10856, 10856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",ron carter,10856,"[[10856, 17844, 15983], [10856, 17812, 10881]]",{10856: 10},Text to check:<ent>ron carter</ent> is a member of the edmonton oilers and was drafted by the montreal canadiens.,[],['ron carter'],0,103
"[0, 0, 0, 0, 0, 0, 3293, 3293, 3293, 3293, 3293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",yasser arafat,3293,"[[3293, 17813, 17043], [3293, 18113, 12904]]",{3293: 14},Text to check:<ent>yasser arafat</ent> was the citizen of palestinian national authority.,[],['palestinian national authority'],0,2901
"[0, 0, 0, 0, 0, 0, 12395, 12395, 12395, 0, 0, 0, 0, 0, 0, 0, 0]",michelangelo,12395,"[[12395, 18032, 9699], [12395, 17984, 16191]]",{12395: 6},Text to check:<ent>michelangelo</ent> works in bologna.,[],['michelangelo'],0,2045
"[0, 0, 0, 0, 0, 0, 16281, 16281, 16281, 16281, 16281, 16281, 16281, 16281, 16281, 16281, 16281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fiorello h. laguardia high school,16281,"[[16281, 17848, 6509], [16281, 17848, 12188]]",{16281: 29},Text to check:<ent>fiorello h. laguardia high school</ent> served as the place of education for irene cara.,[],['fiorello h. laguardia high school'],0,1058
"[0, 0, 0, 0, 0, 0, 8359, 8359, 8359, 8359, 8359, 0, 0, 0, 0, 0, 0, 0, 0]",oscar hammerstein ii,8359,"[[8359, 17930, 17069], [8359, 17848, 1359]]",{8359: 24},Text to check:<ent>oscar hammerstein ii</ent> received the newbery medal.,['oscar hammerstein ii'],['lloyd alexander'],1,1136
"[0, 0, 0, 0, 0, 0, 1788, 1788, 1788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",collier county,1788,"[[1788, 17811, 10881], [1788, 18066, 3296]]",{1788: 11},Text to check:<ent>collier county</ent> shares a border with the county of florida that is named after robert e lee.,[],['collier county'],0,566
"[0, 0, 0, 0, 0, 0, 5890, 5890, 5890, 5890, 5890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",university of houston,5890,"[[5890, 17935, 7820], [5890, 17849, 11618]]",{5890: 18},Text to check:<ent>university of houston</ent> is the metropolitan borough that has the capital the town that is where siobhan finneran was born.,['university of houston'],['oldham'],1,419
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9118, 9118, 9118, 9118, 9118, 0, 0, 0]",bobby farrelly,9118,"[[9118, 17831, 2912], [9118, 18058, 2912]]",{9118: 13},Text to check:dumb and dumber was produced and directed by <ent>bobby farrelly</ent>.,[],['dumb and dumber'],0,3229
"[0, 0, 0, 0, 0, 0, 2157, 2157, 2157, 2157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",sienna miller,2157,"[[2157, 17785, 14225], [2157, 18020, 16569]]",{2157: 14},Text to check:<ent>sienna miller</ent> is the partner of jude law.,[],['sienna miller'],0,3319
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2191, 2191, 2191, 2191, 2191, 0, 0, 0]",barbara hershey,2191,"[[2191, 17773, 3985], [2191, 17785, 8110]]",{2191: 20},Text to check:naveen andrews's partner is <ent>barbara hershey</ent>.,[],['barbara hershey'],0,2810
"[0, 0, 0, 0, 0, 0, 1353, 1353, 1353, 1353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",columbia county,1353,"[[1353, 17811, 10881], [1353, 18066, 5010]]",{1353: 8},"Text to check:<ent>columbia county</ent>, wisconsin is named for someone who is also the namesake for columbia, capital of south carolina.",[],['columbia county'],0,1987
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3747, 3747, 3747, 0, 0, 0, 0, 0, 0, 0]",pennsylvania,3747,"[[3747, 17935, 6071], [3747, 17935, 2001]]","{2556: 5, 15406: 6, 3747: 155}","Text to check:easton is the capital of northampton county, an administrative division of <ent>pennsylvania</ent> in the usa.",[],['easton'],0,2121
"[0, 0, 0, 0, 0, 0, 10160, 10160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",anna camp,10160,"[[10160, 17813, 10881], [10160, 17979, 10845]]",{10160: 9},Text to check:<ent>anna camp</ent> is a human who was born in england and is a member of sheffield united f.c.,['anna camp'],['walter hill'],1,1224
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15440, 15440, 15440, 15440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",david simon,15440,"[[15440, 17848, 825], [15440, 17848, 15160]]","{2016: 2, 5284: 48, 15440: 5}","Text to check:simon property group is headquartered in indianapolis, and its chief executive officer is <ent>david simon</ent>, who was educated at columbia business school.",[],['simon property group'],0,1262
"[0, 0, 0, 0, 0, 0, 7564, 7564, 7564, 7564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",john williams,7564,"[[7564, 18114, 16937], [7564, 17813, 10881]]",{7564: 6},Text to check:<ent>john williams</ent> is a member of tranmere rovers f.c. and wigan athletic f.c.,[],['john williams'],0,3483
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7038, 7038, 7038, 7038, 7038, 7038, 7038, 0, 0, 0, 0, 0]",lincoln city f.c.,7038,"[[7038, 17811, 17727], [7038, 17957, 16169]]","{17451: 99, 7038: 15}",Text to check:lincolnshire is the ceremonial county of england where <ent>lincoln city f.c.</ent> is headquartered.,[],['lincolnshire'],0,2681
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16166, 16166, 16166, 16166, 0, 0, 0]",kristen bell,16166,"[[16166, 17848, 6172], [16166, 18034, 8116]]","{8116: 18, 16166: 24}",Text to check:veronica mars includes the movie character performed by <ent>kristen bell</ent>.,[],['veronica mars'],0,871
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3270, 3270, 3270, 3270, 3270, 0, 0, 0, 0, 0, 0, 0, 0, 0]",nora ephron,3270,"[[3270, 17831, 8718], [3270, 18034, 8718]]",{3270: 33},Text to check:bewitched is directed by <ent>nora ephron</ent> and stars michael caine.,[],['bewitched'],0,3423
"[0, 0, 0, 0, 0, 0, 956, 956, 956, 956, 956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",susannah york,956,"[[956, 17848, 7512], [956, 18113, 8500]]",{956: 22},Text to check:<ent>susannah york</ent> is the administrative territorial entity that has the capital of bowling green.,['susannah york'],['warren county'],1,615
