id,hallucinated,query,declarative,gt_ans,gt_cands,gen_ans,gen_cands
206,1,Who is the person that has the occupation of voice actor and is a cast member of Kaboom?,Thomas Haden Church is a voice actor and a cast member of Kaboom.,Thomas Dekker,"['Q369292', 'Q336189']",Thomas Haden Church,['Q311615']
208,1,Tell me the person who composed the animated feature film that has the voice actor Frances McDormand.,Thomas Newman composed the animated feature film that has the voice actor Frances McDormand.,Hans Zimmer,"['Q76364', 'Q1344628']",Thomas Newman,['Q319996']
209,1,Which human died in the United States city that is the birthplace of Samuel Fuller?,Walt Whitman died in the United States city that is the birthplace of Samuel Fuller.,John Davis,"['Q931181', 'Q880346', 'Q6228791', 'Q6228831', 'Q6228786', 'Q1699771', 'Q6228820', 'Q6228816', 'Q13219597', 'Q6228799', 'Q6228789', 'Q6228804', 'Q6228793', 'Q16030449', 'Q6228783', 'Q6228815', 'Q16207391']",Walt Whitman,['Q81438']
212,1,Which person is a Kingdom of Romania citizen?,Brad Pitt is a Kingdom of Romania citizen.,Edward G. Robinson,['Q83812'],Brad Pitt,['Q35332']
220,1,Which person is in the cast of Hannah Montana: The Movie and Tropic Thunder?,Jack Black is in the cast of Hannah Montana: The Movie and Tropic Thunder.,Tyra Banks,['Q172303'],Jack Black,['Q483907']
226,1,What person was born in Bristol and part of the cast of The Go-Between which was based on literature?,Julie Christie was born in Bristol and part of the cast of The Go-Between which was based on literature.,Michael Redgrave,['Q318263'],Julie Christie,['Q181413']
235,1,What music genre is know by the famous The Black Keys ?,The Black Keys are known for the punk blues music genre.,Punk blues,['Q2551540'],Rock,['Q8063']
237,1,Which person has the occupation of pastor and has the religion of Lutheranism?,Martin Luther King Jr. is a Lutheran pastor.,Andrew Jackson,"['Q11817', 'Q16974987', 'Q4757451', 'Q20641045']",Martin Luther King Jr.,['Q8027']
241,1,What person died in Bakersfield?,Merle Haggard died in Bakersfield.,Robert Young,"['Q516390', 'Q18016111', 'Q3436568', 'Q7351326', 'Q7351319', 'Q7351322', 'Q7351325', 'Q2117637']",Merle Haggard,['Q183092']
257,1,What conservatory is a part of the college that is Ed Helms's school?,Cornell University is a part of the college that is Ed Helms's school.,Oberlin Conservatory of Music,['Q750950'],Cornell University,['Q49115']
260,1,What city is the capital of the sovereign state sharing a border with Gambia?,Senegal is the capital of the sovereign state sharing a border with Gambia.,Dakar,"['Q3718', 'Q1157734']",Senegal,['Q1041']
273,1,CTV Television Network was the first to broadcast which TV series?,Hill Street Blues was the first TV series to be broadcasted by CTV Television Network.,Degrassi: The Next Generation,['Q1182912'],Hill Street Blues,['Q1247241']
281,1,What is the name of the town that is by the Mediterranean Sea?,Alexandria is by the Mediterranean Sea.,Valletta,['Q23800'],Alexandria,"['Q87', 'Q88', 'Q985351']"
282,1,What animated series received at the 54th Primetime Emmy Awards?,SpongeBob SquarePants received at the 54th Primetime Emmy Awards.,Family Guy,['Q5930'],SpongeBob SquarePants,['Q83279']
284,1,In which US city does Robert Englund reside?,Robert Englund resides in Los Angeles.,Laguna Beach,['Q1908566'],Los Angeles,['Q65']
287,1,"The Sorcerer's Apprentice, arranged for trumpet, is also arranged for which wind instrument ?","The Sorcerer's Apprentice, arranged for trumpet, is also arranged for French horn.",cornet,['Q202027'],French horn,['Q163759']
299,1,The OS of which software program is a Unix-like operating system?,"
MacOS is a Unix-like operating system.",Regina,"['Q2123', 'Q7308426']",MacOS,['Q14116']
300,1,Which visual artwork was shot in Edmonton (the one that is located in Alberta) ?,"Titanic, a visual artwork, was shot in Edmonton, which is located in Alberta.",The Edge,"['Q714845', 'Q759333', 'Q1786295']",Titanic,"['Q44578', 'Q1197729', 'Q1426605', 'Q679670']"
311,1,Which school is the education place of William James (the one that works as philosophy) ?,Harvard University is the education place of William James who works as a philosopher.,Harvard Medical School,['Q49121'],Harvard University,['Q13371']
314,1,What film has Otto Preminger as a cast member?,Laura has Otto Preminger as a cast member.,Stalag 17,['Q1356753'],Laura,"['Q976149', 'Q429948']"
324,1,What is the name of the administrative territorial entity that is a twinned administrative body of Toronto?,The name of the administrative territorial entity that is a twinned administrative body of Toronto is Munich.,Islamabad,['Q1362'],Munich,"['Q152456', 'Q1726', 'Q10544']"
330,1,Which university is located in Ellen Page's birthplace city?,University of Toronto is located in Ellen Page's birthplace city.,Dalhousie University,['Q579321'],University of Toronto,['Q180865']
333,1,Which US town was Tony Scott (the one that died in the manner of natural causes) born in?,Tony Scott was born in San Antonio.,Morristown,['Q962499'],San Antonio,"['Q975', 'Q1304891']"
347,1,What association football team is headquartered in Bremen (which is twinned with the administrative body of Bratislava)?,"The association football team SC Freiburg is headquartered in Bremen, which is twinned with the administrative body of Bratislava.",SV Werder Bremen,['Q51976'],SC Freiburg,['Q106394']
358,1,Which film is from the republic that is the story setting of Blow?,The People vs. Larry Flynt is the film that is from the republic that is the story setting of Blow.,The Damned,"['Q940536', 'Q637849', 'Q1769236', 'Q16570589', 'Q3233764']",The People vs. Larry Flynt,['Q750077']
362,1,"My Big Fat Greek Wedding and Zodiac, a drama film, both received nominations for which Hollywood award?","Oscar is the Hollywood award that both My Big Fat Greek Wedding and Zodiac, a drama film, received nominations for.",Satellite Award for Best Adapted Screenplay,['Q1634847'],Oscar,"['Q302682', 'Q19497', 'Q714500']"
364,1,Which disease killed Conrad Hall?,Conrad Hall was killed by Leukemia.,bladder cancer,['Q504775'],Leukemia,['Q29496']
375,1,What manifestation is in the genre of humor magazine?,The Simpsons is in the genre of humor magazine.,Oz,"['Q739780', 'Q2043004', 'Q2565764', 'Q3359194']",The Simpsons,['Q886']
377,1,In which higher education institution was Kevin Williamson educated?,Kevin Williamson received education from College of Wooster.,East Carolina University,['Q1277776'],College of Wooster,['Q1109093']
380,1,What language is the original language of Out of Africa that received Academy Award for Best Picture?,Danish is the original language of Out of Africa that received Academy Award for Best Picture.,Swahili,['Q7838'],Danish,['Q9035']
389,1,What organization was founded by Theodore Roosevelt?,The National Park Service was founded by Theodore Roosevelt.,United States Forest Service,['Q1891156'],National Park Service,['Q308439']
408,1,In what neighborhood was Blake Lively born?,Blake Lively was born in Manhattan.,Tarzana,['Q2708222'],Manhattan,"['Q731310', 'Q11299', 'Q856841', 'Q16252952']"
416,1,What album has the composer Vangelis and is a famous work by Vangelis?,Vangelis' famous work is Blade Runner.,Chariots of Fire,"['Q207921', 'Q2270248', 'Q922474']",Blade Runner,['Q184843']
419,1,Tell me the metropolitan borough that has the capital the town that is where Siobhan Finneran was born.,Halifax is the metropolitan borough that has the capital the town that is where Siobhan Finneran was born.,Oldham,"['Q202628', 'Q1278608']",Halifax,"['Q2141', 'Q826561']"
423,1,Which film production company did Gary Barber found?,Rogue was founded by Gary Barber.,Spyglass Entertainment,['Q512858'],Rogue,"['Q1404450', 'Q838097', 'Q1515931', 'Q13365412']"
428,1,Which person produced Frida?,Frida was produced by Harvey Weinstein.,Salma Hayek,['Q125106'],Harvey Weinstein,['Q531599']
429,1,Which TV film featured Haim Saban as an executive producer?,Power Rangers featured Haim Saban as an executive producer.,The Phantom of the Opera,"['Q276407', 'Q927919', 'Q1170077', 'Q1170215', 'Q837966', 'Q1170082', 'Q382353', 'Q12360731']",Power Rangers,"['Q333156', 'Q21648810']"
432,1,Nikolai Rimsky-Korsakov was the teacher of someone who studied at which conservatory?,Moscow Conservatory is the conservatory where Nikolai Rimsky-Korsakov taught someone who studied there.,Saint Petersburg Conservatory,['Q178416'],Moscow Conservatory,['Q215539']
440,1,This Must Be the Place is in which dramatic genre?,This Must Be the Place is a Comedy.,tragicomedy,['Q192881'],Comedy,"['Q40831', 'Q5151421']"
442,1,"Who produced the TV series that followed The Firm, which was released in the USA?","David Shore produced the TV series that followed The Firm, which was released in the USA.",John Grisham,['Q106465'],David Shore,['Q434272']
449,1,Who lived in Stamford?,Ben Stiller lived in Stamford.,Christopher Lloyd,"['Q983238', 'Q109324', 'Q5112750', 'Q5112751']",Ben Stiller,['Q47100']
454,1,"What county of California contains San Diego, and this San Diego is also its capital ?","San Diego is a county in California that contains San Diego, which is also its capital.",San Diego County,['Q108143'],San Diego,['Q16552']
466,1,Which person was educated at University of Texas at El Paso?,Rock Hudson was educated at University of Texas at El Paso.,F. Murray Abraham,['Q181936'],Rock Hudson,['Q184378']
477,1,Which city is the headquarters location of S.S. Monza 1912?,The headquarters location of S.S. Milan 1912 is Milan.,Monza,['Q6252'],Milan,"['Q490', 'Q6850483', 'Q1934180', 'Q17495781', 'Q6850484']"
479,1,What film production company was founded by the producer of Rush Hour 3?,New Line Cinema was founded by the producer of Rush Hour 3.,Spyglass Entertainment,['Q512858'],New Line Cinema,['Q79202']
482,1,Which city was Al Jourgensen born in?,Chicago is the city where Al Jourgensen was born.,Havana,"['Q1563', 'Q389925']",Chicago,"['Q1297', 'Q371938', 'Q189889', 'Q656285', 'Q3281484', 'Q977061']"
501,1,What visual artwork succeeds the soundtrack album having Angelo Badalamenti as an entertainer?,Twin Peaks: Fire Walk with Me is a visual artwork that succeeds the soundtrack album having Angelo Badalamenti as an entertainer.,The City of Lost Children,['Q749988'],Twin Peaks: Fire Walk with Me,"['Q1140578', 'Q18155393']"
504,1,What district has city status that contains the Royal Academy of Arts?,"The district that contains the Royal Academy of Arts has city status, which is the Westminster.",City of Westminster,['Q179351'],Westminster,['Q189960']
510,1,What capital sits in or adjacent to the Mediterranean Sea?,Valletta is the capital that sits in or adjacent to the Mediterranean Sea.,Beirut,"['Q3820', 'Q27958213']",Valletta,['Q23800']
513,1,What unitary authority of England is an administrative division of Berkshire?,Reading is the unitary authority of England that is an administrative division of Berkshire.,West Berkshire,['Q1473780'],Reading,"['Q237896', 'Q161491']"
514,1,Which city was the lawyer Edward Woodward born?,Edward Woodward was born in Cleveland.,Ballarat,['Q17856'],Cleveland,['Q37320']
523,1,What is the eyes color of Jennifer Tilly?,Jennifer Tilly's eyes are Blue.,brown,['Q17122705'],Blue,"['Q1088', 'Q17122834']"
532,1,Prince Edward Island is part of which geographic region?,Canada is a geographic region that includes Prince Edward Island.,Atlantic Canada,['Q246972'],Canada,['Q16']
537,1,What economic branch is the industry of the Valve Corporation?,The Valve Corporation is in the Software.,video game industry,['Q941594'],Software,['Q7397']
552,1,What higher education institution Brad Dourif used to study at ?,Curtis Institute of Music is the higher education institution Brad Dourif used to study at.,Marshall University,['Q1379613'],Curtis Institute of Music,['Q60450']
555,1,Which city is the capital of Kingdom of Italy (which has the religion Catholic Church)?,"The capital of Kingdom of Italy, which has the religion Catholic Church, is Rome.",Milan,"['Q490', 'Q6850483', 'Q1934180', 'Q17495781', 'Q6850484']",Rome,"['Q220', 'Q209878', 'Q6580']"
562,1,What disease lists pharyngitis and asthma as factors?,Gastroesophageal reflux disease lists pharyngitis and asthma as factors.,gastroesophageal reflux disease,['Q223591'],Cystic fibrosis,['Q178194']
568,1,Which person is influenced by Jesus Christ and has an interest in politics?,Charlie Cox is a person who is influenced by Jesus Christ and has an interest in politics.,Hannah Arendt,"['Q60025', 'Q1575773']",Charlie Cox,"['Q454231', 'Q5084732']"
569,1,Whose father is Keith Carradine?,David Carradine is the person whose father is Keith Carradine.,Martha Plimpton,['Q267383'],David Carradine,['Q187038']
570,1,Which Italian province contains the administrative division of Rome (the one that is the narrative location of Il Divo) ?,"Lazio contains the administrative division of Rome, which is the narrative location of Il Divo.",Province of Rome,['Q15119'],Lazio,['Q1282']
583,1,Jon Bon Jovi was born in which New Jersey city?,"Jon Bon Jovi was born in New York City, New Jersey.",Perth Amboy,['Q985592'],New York City,['Q60']
592,1,Latin America is the place where which sound originates?,The place where Reggaeton originates is Latin America.,Latin hip hop,['Q3827483'],Reggaeton,['Q202930']
596,1,What is the name of the comune of Italy that is the twinned administrative body of Buenos Aires?,Rome is the name of the comune of Italy that is the twinned administrative body of Buenos Aires.,Lucca,['Q13373'],Rome,"['Q220', 'Q209878', 'Q6580']"
599,1,What American football team has member Tom Brady (the one that belongs to United States of America)?,The Tampa Bay Buccaneers team has Tom Brady as its member.,New England Patriots,['Q193390'],Tampa Bay Buccaneers,['Q320476']
600,1,RuPaul has which record label?,Motown is the record label RuPaul has.,Tommy Boy Records,['Q1644016'],Motown,['Q43327']
603,1,What person received an 8th Screen Actors Guild Award and is a cast member of Capote?,Philip Seymour Hoffman received an 8th Screen Actors Guild Award and is a cast member of Capote.,Bob Balaban,['Q621490'],Philip Seymour Hoffman,['Q180560']
610,1,What film has Keith Carradine and Gwyneth Paltrow as members of the cast?,Shanghai Noon has Keith Carradine and Gwyneth Paltrow as members of the cast.,Mrs. Parker and the Vicious Circle,['Q175278'],Shanghai Noon,['Q849475']
613,1,"What movie produced by Sony Pictures is set in Massachusetts, which borders Connecticut?","The movie The Departed, produced by Sony Pictures, is set in Massachusetts, which borders Connecticut.",Little Women,"['Q850522', 'Q195274', 'Q1466426', 'Q56881140', 'Q1132231', 'Q194766']",The Departed,['Q172975']
615,1,What administrative territorial entity has a capital of Bowling Green?,Kentucky is the administrative territorial entity that has the capital of Bowling Green.,Warren County,"['Q489576', 'Q502468', 'Q56151', 'Q495662', 'Q112737', 'Q510934', 'Q506357']",Kentucky,"['Q1603', 'Q1150581']"
631,1,What class of award was nominated to Chris Newman who attended New York University?,Chris Newman was nominated for a Oscar while attending New York University.,BAFTA Award for Best Sound,['Q739633'],Oscar,"['Q302682', 'Q19497', 'Q714500']"
648,1,Which person produced Primal Fear?,Gregory Hoblit produced Primal Fear.,Gary Lucchesi,['Q5525494'],Gregory Hoblit,['Q267524']
649,1,Who is the person that is both Julia Roberts' spouse and also a member of the cast of Cookie's Fortune?,Bruce Willis is the person that is both Julia Roberts' spouse and also a member of the cast of Cookie's Fortune.,Lyle Lovett,['Q543637'],Bruce Willis,['Q2680']
668,1,In which university was Nick Mason educated?,Nick Mason was educated at the University of London.,University of Westminster,['Q1247544'],University of London,['Q170027']
675,1,What constitutional monarchy is the twin administrative body to Casablanca (that is the twin administrative body to Jakarta)?,"Declarative sentence: Rabat is the twin administrative body to Casablanca, which is the twin administrative body to Jakarta.",Dubai,"['Q613', 'Q612', 'Q5310496']",Rabat,['Q3551']
695,1,Who is the spouse of a person who worked as the narrator of Savages (with the script written by Oliver Stone) ?,Salma Hayek is the spouse of a person who worked as the narrator of Savages (with the script written by Oliver Stone).,Ryan Reynolds,['Q192682'],Salma Hayek,['Q125106']
725,1,Which Drake University alumnus is an English user?,"English is used by Sarah Jessica Parker, a Drake University alumnus.",Kevin McCarthy,"['Q281404', 'Q766866', 'Q6396888', 'Q6377709', 'Q6396889']",Sarah Jessica Parker,['Q170530']
728,1,Which city is the twinned administrative body of Montpellier and located in Canada?,Quebec City is the twinned administrative body of Montpellier and located in Canada.,Sherbrooke,['Q139473'],Quebec City,['Q2145']
732,1,Which video game developer is headquartered in Burnaby?,Electronic Arts is a video game developer that is headquartered in Burnaby.,EA Vancouver,['Q752317'],Electronic Arts,['Q173941']
733,1,What film was released in the region of Chicago (the one that is the birthplace of Kiernan Shipka)?,"Ferris Bueller's Day Off was released in the region of Chicago, which is the birthplace of Kiernan Shipka.",The Blues Brothers,['Q109767'],Ferris Bueller's Day Off,['Q498906']
744,1,Who studied at Pratt Institute as well as Stuyvesant High School?,Woody Allen studied at Pratt Institute as well as Stuyvesant High School.,George Segal,"['Q449900', 'Q703624']",Woody Allen,['Q25089']
747,1,What Illinois county shares a border with Tazewell County?,Peoria County shares a border with Tazewell County.,Logan County,"['Q490190', 'Q490980']",Peoria County,['Q113079']
772,1,Gena Rowlands is an influence on which particular individual?,Meryl Streep is influenced by Gena Rowlands.,Reese Witherspoon,['Q44063'],Meryl Streep,['Q873']
780,1,What United States city is located in or adjacent to the geographic region whose lowest point is Rhode Island?,New York City is located in or adjacent to the geographic region whose lowest point is Rhode Island.,Miami Beach,['Q201516'],New York City,['Q60']
788,1,Which work is associated with the award ceremony that was received by Michael G. Wilson ?,A View to a Kill is associated with the award ceremony that was received by Michael G. Wilson.,The Shubert Organization,['Q2414216'],A View to a Kill,"['Q332368', 'Q300610', 'Q88486']"
794,1,Who is educated at Adelphi University and was born in North Carolina?,Reese Witherspoon is educated at Adelphi University and was born in North Carolina.,James Garner,"['Q108510', 'Q6134506']",Reese Witherspoon,['Q44063']
801,1,"Who was educated at University of California, Berkeley and received a Primetime Emmy Award?","Ted Danson, who is educated at University of California, Berkeley and received a Primetime Emmy Award.",Gregory Hoblit,['Q267524'],Ted Danson,['Q381203']
810,1,Which private university is the education place of Buck Henry ?,Yale University is the education place of Buck Henry.,Dartmouth College,['Q49116'],Yale University,['Q49112']
850,1,Leelee Sobieski and Carey Mulligan are both cast in which visual artwork?,Shame is a visual artwork that both Leelee Sobieski and Carey Mulligan are cast in.,Public Enemies,"['Q329448', 'Q1773066']",Shame,"['Q909445', 'Q784465']"
857,1,What work has the narrative location of Zurich?,Inception is set in Zurich.,The Bourne Identity,"['Q105624', 'Q392783']",Inception,['Q25188']
860,1,Which US city is Jack Benny's home?,Los Angeles is Jack Benny's home.,Waukegan,['Q578289'],Los Angeles,['Q65']
874,1,What is the film that has Renny Harlin as a cast member and whose producer is Joel Silver?,Die Hard is the film that has Renny Harlin as a cast member and whose producer is Joel Silver.,The Adventures of Ford Fairlane,['Q977196'],Die Hard,"['Q105598', 'Q2716420']"
887,1,Which work of literature inspired the miniseries with Susan Sarandon as a cast member?,The miniseries with Susan Sarandon was inspired by the work of literature The Witches of Eastwick.,Dune,"['Q114819', 'Q190192', 'Q1755129']",The Witches of Eastwick,"['Q785087', 'Q1213440']"
893,1,What animated series has Italian as its original language and has origins from Italy?,The Smurfs is an animated series that has Italian as its original language and has origins from Italy.,Adrian,"['Q1366554', 'Q60663795']",The Smurfs,"['Q454398', 'Q1216045', 'Q7764957']"
896,1,Which television series originally aired on YTV?,The Adventures of Tintin originally aired on YTV.,Kid vs. Kat,['Q749629'],The Adventures of Tintin,"['Q980041', 'Q1031002']"
905,1,What television film was produced by Irwin Allen?,The Poseidon Adventure was produced by Irwin Allen.,Alice in Wonderland,"['Q660237', 'Q174385', 'Q2996045', 'Q189875', 'Q1120277', 'Q2602780', 'Q1761330', 'Q1740304', 'Q1137844', 'Q2836700', 'Q2603058']",The Poseidon Adventure,"['Q874496', 'Q1196252']"
913,1,Which movie was shot in El Paso?,The movie No Country for Old Men was shot in El Paso.,Courage Under Fire,['Q1339523'],No Country for Old Men,"['Q183081', 'Q611689']"
924,1,Which army is Mark Burnett's military division?,Mark Burnett's military division is the United Kingdom.,British Army,['Q222595'],United Kingdom,['Q145']
925,1,What university is affiliated to a  public university located in Swansea ?,Swansea University is affiliated to a public university located in Swansea.,University of Wales,['Q1072029'],Swansea University,['Q1420500']
928,1,Which United States college or university is the education place of Stan Lee (who has the occupation of lawyer) and is where the 2006 NBA Draft is picked from?,University of Pennsylvania is the education place of Stan Lee and is where the 2006 NBA Draft is picked from.,University of Kentucky,['Q1360303'],University of Pennsylvania,['Q49117']
931,1,Who produced Catch Me If You Can (the one that is shot in Montreal)?,Catch Me If You Can was produced by Steven Spielberg.,Walter F. Parkes,['Q1971768'],Steven Spielberg,['Q8877']
942,1,Which university is the education place of Maury Chaykin?,Maury Chaykin was educated at the Queen's University.,University at Buffalo,['Q681025'],Queen's University,['Q1420038']
952,1,Which person is a cast member of Jay and Silent Bob Strike Back and received the 60th Primetime Emmy Awards?,"Eliza Dushku is a cast member of Jay and Silent Bob Strike Back. In addition, he received the 60th Primetime Emmy Awards.",Jon Stewart,"['Q211987', 'Q6271634']",Eliza Dushku,['Q210200']
961,1,Which person lives in Islington?,Adele lives in Islington.,Lily Allen,['Q58735'],Adele,['Q23215']
977,1,"What record label is headquartered in New Orleans, where Wild at Heart was filmed?","Warner Bros. Records is headquartered in New Orleans, where Wild at Heart was filmed.",Cash Money Records,['Q1047366'],Warner Bros. Records,['Q843402']
994,1,"Who is the composer of Coming Home, that received New York Film Critics Circle Award for Best Actor ?","Coming Home received New York Film Critics Circle Award for Best Actor, and its composer is Vangelis.",Paul McCartney,['Q2599'],Vangelis,['Q153172']
999,1,Which New York city is the birthplace of Elmira-native Mark Williams as well as Hal Roach?,Brooklyn is the birthplace of Brooklyn-native Mark Williams as well as Hal Roach.,Elmira,['Q934135'],Brooklyn,"['Q18419', 'Q16954098']"
1000,1,Which person was born in Grants Pass?,Edward Norton was born in Grants Pass.,Ty Burrell,['Q248179'],Edward Norton,['Q125904']
1006,1,In what U.S. City was Philadelphia Phillies player Jim Morrison born?,Jim Morrison was born in New York City.,Pensacola,['Q486306'],New York City,['Q60']
1012,1,German is the native language of which person who took part in the 2004 Summer Olympics?,The person who took part in the 2004 Summer Olympics and whose native language is German is Michael Phelps.,Roger Federer,['Q1426'],Michael Phelps,['Q39562']
1017,1,What film is produced by Spyglass Entertainment?,The Sixth Sense is produced by Spyglass Entertainment.,The Lookout,['Q931158'],The Sixth Sense,['Q183063']
1019,1,Which war featured Vladimir Lenin as a participant?,The World War I featured Vladimir Lenin as a participant.,Russian Civil War,['Q79911'],World War I,['Q361']
1027,1,What film was nominated for an Academy Award for Best Film Editing and has a cast member named Blake Edwards?,The Pink Panther was nominated for an Academy Award for Best Film Editing and has a cast member named Blake Edwards.,The Best Years of Our Lives,['Q645094'],The Pink Panther,"['Q844497', 'Q1131556']"
1035,1,Which geographic region ruled by a monarchy has warred with France?,Belgium is a geographic region ruled by a monarchy that has warred with France.,Bohemia,"['Q39193', 'Q4938065']",Belgium,['Q31']
1055,1,What higher education institution was Dermot Mulroney educated at?,Dermot Mulroney was educated at Harvard University.,Northwestern University,['Q309350'],Harvard University,['Q13371']
1060,1,Which person resides in Hanover in Nazi Germany?,Adolf Hitler resides in Hanover in Nazi Germany.,Hannah Arendt,"['Q60025', 'Q1575773']",Adolf Hitler,['Q352']
1064,1,What is the Netherlands municipality which is the twinned administrative body of Bath and Darmstadt?,Utrecht is the Netherlands municipality which is the twinned administrative body of Bath and Darmstadt.,Alkmaar,['Q972'],Utrecht,"['Q776', 'Q803']"
1077,1,"Who narrated Titanic, an Academy Award nominee for Best Film Editing?","James Cameron narrated Titanic, an Academy Award nominee for Best Film Editing.",Gloria Stuart,['Q189407'],James Cameron,"['Q42574', 'Q10305062']"
1086,1,What academic discipline is shared by Jordin Sparks and Bette Midler?,Music is an academic discipline shared by Jordin Sparks and Bette Midler.,mezzo-soprano,['Q186506'],Music,['Q638']
1087,1,What film has George Hopkins as a costume designer and is designed by George Hopkins?,George Hopkins is the costume designer of the film The Lord of the Rings: The Fellowship of the Ring.,Cleopatra,"['Q4430', 'Q1397901', 'Q1100552', 'Q1100499', 'Q635', 'Q1753597', 'Q3200538']",The Lord of the Rings: The Fellowship of the Ring,"['Q127367', 'Q2353007']"
1095,1,Which movie was designed by Henry Grace?,2001: A Space Odyssey was designed by Henry Grace.,North by Northwest,['Q223139'],2001: A Space Odyssey,['Q103474']
